location,maxtempC,mintempC,humidity,tempC,HeatIndexC,WindChillC,new_cases
United%20Kingdom,3.0,-7.0,84.0,3.0,-2.0,-4.0,1393.0
Togo,32.0,28.0,71.0,32.0,34.0,30.0,0.0
Trinidad%20and%20Tobago,27.0,23.0,80.0,27.0,27.0,25.0,1.0
Tunisia,17.5,11.0,67.5,17.5,13.5,12.5,17.0
Turkey,18.0,5.0,59.0,18.0,12.0,11.0,4.0
Ukraine,11.0,7.0,72.0,11.0,9.0,7.0,2.0
United%20Arab%20Emirates,25.0,19.0,56.0,25.0,22.5,22.0,94.0
United%20States,19.0,12.0,83.5,19.0,14.0,13.0,1677.0
Uruguay,25.0,16.0,60.0,25.0,20.0,20.0,0.0
Uzbekistan,27.0,15.0,24.0,27.0,20.0,20.0,0.0
Venezuela,25.0,14.0,75.0,25.0,20.0,19.0,0.0
Vietnam,23.0,19.0,75.0,23.0,23.0,21.0,55.0
World,30.0,26.0,76.0,30.0,31.0,28.0,166973.0
