date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,date,new_cases,new_deaths,total_cases,total_deaths
2020-02-26,9,4,0.0,11.5,1,1,15,08:24 AM,08:26 PM,06:54 AM,06:02 PM,-7,5,6,5,9,24,38,0.0,1031,9,10,176,7,China,2020-02-26,411.0,52.0,78191.0,2718.0
2020-02-27,8,3,0.0,8.7,1,1,23,08:48 AM,09:24 PM,06:52 AM,06:03 PM,-7,3,6,3,16,57,39,0.0,1030,8,10,192,12,China,2020-02-27,439.0,29.0,78630.0,2747.0
2020-02-28,12,4,0.0,11.5,1,1,30,09:13 AM,10:21 PM,06:51 AM,06:04 PM,-7,7,8,7,5,10,37,0.0,1018,12,10,185,4,China,2020-02-28,331.0,44.0,78961.0,2791.0
2020-02-29,9,4,0.0,8.7,1,1,38,09:38 AM,11:21 PM,06:49 AM,06:05 PM,-2,6,7,6,5,49,56,0.0,1017,9,10,82,4,China,2020-02-29,433.0,47.0,79394.0,2838.0
2020-03-01,10,4,0.0,11.6,1,1,44,10:06 AM,No moonset,06:48 AM,06:06 PM,-11,5,8,5,16,5,31,0.0,1025,10,10,334,13,China,2020-03-01,574.0,35.0,79968.0,2873.0
2020-03-02,11,6,0.0,11.6,1,1,51,10:38 AM,12:20 AM,06:46 AM,06:07 PM,-10,6,8,6,12,19,30,0.9,1024,11,10,187,10,China,2020-03-02,206.0,42.0,80174.0,2915.0
2020-03-03,8,0,0.0,11.6,1,1,58,11:17 AM,01:21 AM,06:45 AM,06:08 PM,-15,2,5,2,23,10,24,0.9,1025,8,10,335,18,China,2020-03-03,130.0,31.0,80304.0,2946.0
2020-03-04,12,2,0.0,11.6,1,1,65,12:02 PM,02:22 AM,06:43 AM,06:10 PM,-16,4,6,4,10,0,18,0.0,1032,12,10,292,9,China,2020-03-04,118.0,38.0,80422.0,2984.0
2020-03-05,10,4,0.0,11.6,1,1,73,12:56 PM,03:22 AM,06:42 AM,06:11 PM,-12,6,7,6,9,3,25,0.0,1023,10,10,204,8,China,2020-03-05,143.0,31.0,80565.0,3015.0
2020-03-06,12,4,0.0,11.6,1,1,80,01:59 PM,04:18 AM,06:40 AM,06:12 PM,-4,7,8,7,9,22,43,0.1,1014,12,10,215,7,China,2020-03-06,146.0,30.0,80711.0,3045.0
2020-03-07,18,7,0.0,11.6,1,1,87,03:09 PM,05:09 AM,06:38 AM,06:13 PM,-2,11,12,11,9,6,44,0.0,1016,18,10,108,7,China,2020-03-07,102.0,28.0,80813.0,3073.0
2020-03-08,11,5,0.0,8.7,1,1,95,04:23 PM,05:54 AM,06:37 AM,06:14 PM,4,8,9,8,7,55,72,0.6,1015,11,8,47,5,China,2020-03-08,46.0,27.0,80859.0,3100.0
2020-03-09,12,8,0.0,10.2,1,1,100,05:40 PM,06:33 AM,06:35 AM,06:15 PM,2,9,10,9,11,63,61,1.5,1018,12,9,144,8,China,2020-03-09,45.0,23.0,80904.0,3123.0
2020-03-10,11,6,0.0,11.6,1,1,100,06:56 PM,07:08 AM,06:34 AM,06:16 PM,-16,7,9,7,13,14,16,0.1,1019,11,10,317,11,China,2020-03-10,20.0,17.0,80924.0,3140.0
2020-03-11,18,5,0.0,11.6,1,1,84,08:12 PM,07:41 AM,06:32 AM,06:17 PM,-11,11,11,11,5,3,21,0.0,1014,18,10,175,4,China,2020-03-11,31.0,22.0,80955.0,3162.0
2020-03-12,13,7,0.0,11.6,1,1,76,09:27 PM,08:13 AM,06:31 AM,06:18 PM,-12,9,10,9,20,26,20,0.0,1020,13,10,14,15,China,2020-03-12,26.0,11.0,80981.0,3173.0
2020-03-13,13,4,0.0,11.6,1,1,69,10:41 PM,08:46 AM,06:29 AM,06:19 PM,-19,7,8,7,12,6,13,0.0,1028,13,10,292,10,China,2020-03-13,10.0,7.0,80991.0,3180.0
2020-03-14,15,7,0.0,11.6,1,1,62,11:53 PM,09:22 AM,06:27 AM,06:20 PM,-13,9,11,9,20,7,17,0.0,1018,15,10,321,15,China,2020-03-14,30.0,14.0,81021.0,3194.0
2020-03-15,18,9,0.0,11.6,1,1,55,No moonrise,10:01 AM,06:26 AM,06:21 PM,-6,12,12,12,11,11,28,0.0,1019,18,10,90,9,China,2020-03-15,27.0,10.0,81048.0,3204.0
2020-03-16,17,6,0.0,10.2,1,1,47,01:01 AM,10:45 AM,06:24 AM,06:22 PM,-4,11,12,11,9,15,35,0.0,1019,17,10,195,8,China,2020-03-16,29.0,14.0,81077.0,3218.0
2020-03-07,22,12,0.0,10.2,1,1,87,04:28 PM,04:11 AM,06:05 AM,06:09 PM,12,16,17,16,6,43,75,6.6,1013,22,9,234,4,Colombia,2020-03-07,0.0,0.0,1.0,0.0
2020-03-08,21,11,0.0,6.0,1,1,95,05:28 PM,05:08 AM,06:05 AM,06:09 PM,12,16,16,16,5,70,80,11.8,1013,21,9,234,4,Colombia,2020-03-08,0.0,0.0,1.0,0.0
2020-03-09,22,13,0.0,8.8,1,1,100,06:25 PM,06:02 AM,06:05 AM,06:09 PM,12,16,16,16,7,64,79,10.8,1014,22,9,162,5,Colombia,2020-03-09,0.0,0.0,1.0,0.0
2020-03-10,23,12,0.0,8.8,1,1,100,07:22 PM,06:55 AM,06:04 AM,06:08 PM,13,17,17,17,5,69,80,13.8,1014,23,9,191,4,Colombia,2020-03-10,2.0,0.0,3.0,0.0
2020-03-11,20,12,0.0,8.8,1,1,84,08:17 PM,07:47 AM,06:04 AM,06:08 PM,13,16,16,16,5,67,83,12.2,1012,20,9,236,4,Colombia,2020-03-11,0.0,0.0,3.0,0.0
2020-03-12,21,14,0.0,6.0,1,1,76,09:13 PM,08:38 AM,06:04 AM,06:08 PM,13,16,16,16,5,74,84,17.6,1011,21,8,208,3,Colombia,2020-03-12,6.0,0.0,9.0,0.0
2020-03-13,20,14,0.0,6.0,1,1,69,10:08 PM,09:30 AM,06:03 AM,06:08 PM,14,16,16,16,3,72,85,24.8,1013,20,7,247,2,Colombia,2020-03-13,0.0,0.0,9.0,0.0
2020-03-14,19,13,0.0,6.0,1,1,62,11:04 PM,10:22 AM,06:03 AM,06:08 PM,14,16,16,16,5,70,88,25.7,1015,19,8,264,3,Colombia,2020-03-14,7.0,0.0,16.0,0.0
2020-03-15,19,13,0.0,8.8,1,1,55,No moonrise,11:17 AM,06:02 AM,06:08 PM,14,15,15,15,4,70,89,22.3,1014,19,8,247,3,Colombia,2020-03-15,8.0,0.0,24.0,0.0
2020-03-16,20,13,0.0,6.0,1,1,47,12:00 AM,12:11 PM,06:02 AM,06:08 PM,13,16,16,16,4,74,87,23.9,1014,20,8,244,2,Colombia,2020-03-16,0.0,0.0,24.0,0.0
2020-03-15,36,25,0.0,10.2,1,1,55,11:35 PM,11:20 AM,06:04 AM,06:11 PM,21,34,34,31,7,56,61,5.1,1009,36,10,160,5,Congo,2020-03-15,0.0,0.0,1.0,0.0
2020-03-16,34,23,0.0,8.8,1,1,47,No moonrise,12:15 PM,06:04 AM,06:11 PM,22,31,31,28,13,55,75,34.7,1010,34,8,254,8,Congo,2020-03-16,0.0,0.0,1.0,0.0
2020-03-08,27,15,0.0,10.2,1,1,95,05:04 PM,04:55 AM,05:47 AM,05:47 PM,13,19,21,19,19,30,71,0.5,1013,27,10,53,14,Costa%20Rica,2020-03-08,0.0,0.0,5.0,0.0
