date,location,new_cases,new_deaths,total_cases,total_deaths,incubationDateStart,incubationDateEnd,maxtempC,mintempC,FeelsLikeC,HeatIndexC,WindChillC,humidity,tempC
2020-03-09 00:00:00,Argentina,3.0,0.0,12,1.0,2020-02-24 00:00:00,2020-03-02 00:00:00,35.0,22.5,28.0,28.0,28.0,36.0,35.0
2020-03-10 00:00:00,Argentina,0.0,0.0,12,1.0,2020-02-25 00:00:00,2020-03-03 00:00:00,36.0,23.0,29.0,29.0,29.0,36.0,36.0
2020-03-11 00:00:00,Argentina,5.0,0.0,17,1.0,2020-02-26 00:00:00,2020-03-04 00:00:00,36.5,23.5,29.5,29.5,30.0,37.0,36.5
2020-03-12 00:00:00,Argentina,2.0,0.0,19,1.0,2020-02-27 00:00:00,2020-03-05 00:00:00,36.5,24.0,29.5,29.5,30.0,37.0,36.5
2020-03-13 00:00:00,Argentina,12.0,0.0,31,1.0,2020-02-28 00:00:00,2020-03-06 00:00:00,36.5,24.0,29.5,29.5,30.0,39.0,36.5
2020-03-14 00:00:00,Argentina,3.0,1.0,34,2.0,2020-02-29 00:00:00,2020-03-07 00:00:00,36.5,24.0,29.5,29.5,30.0,39.5,36.5
2020-03-15 00:00:00,Argentina,11.0,0.0,45,2.0,2020-03-01 00:00:00,2020-03-08 00:00:00,36.5,24.5,30.0,30.0,31.0,39.0,36.5
2020-03-16 00:00:00,Argentina,11.0,0.0,56,2.0,2020-03-02 00:00:00,2020-03-09 00:00:00,35.5,24.0,29.5,29.5,30.0,39.5,35.5
2020-03-17 00:00:00,Argentina,9.0,0.0,65,2.0,2020-03-03 00:00:00,2020-03-10 00:00:00,34.5,24.0,28.5,28.5,28.5,41.5,34.5
2020-03-02 00:00:00,Armenia,,,1,,2020-02-17 00:00:00,2020-02-24 00:00:00,3.5,-1.5,0.5,1.0,0.5,82.5,3.5
2020-03-03 00:00:00,Armenia,0.0,,1,,2020-02-18 00:00:00,2020-02-25 00:00:00,4.5,-1.5,1.5,2.0,1.5,82.5,4.5
2020-03-04 00:00:00,Armenia,0.0,,1,,2020-02-19 00:00:00,2020-02-26 00:00:00,5.5,-0.5,2.0,2.5,2.0,82.5,5.5
2020-03-05 00:00:00,Armenia,0.0,,1,,2020-02-20 00:00:00,2020-02-27 00:00:00,6.5,0.5,2.0,3.0,2.0,75.0,6.5
2020-03-06 00:00:00,Armenia,0.0,,1,,2020-02-21 00:00:00,2020-02-28 00:00:00,7.0,1.0,2.5,3.5,2.5,68.5,7.0
2020-03-07 00:00:00,Armenia,0.0,,1,,2020-02-22 00:00:00,2020-02-29 00:00:00,8.0,1.0,3.5,4.0,3.5,58.5,8.0
2020-03-08 00:00:00,Armenia,0.0,,1,,2020-02-23 00:00:00,2020-03-01 00:00:00,9.0,1.5,4.5,4.5,4.5,58.5,9.0
2020-03-09 00:00:00,Armenia,0.0,,1,,2020-02-24 00:00:00,2020-03-02 00:00:00,9.0,2.5,5.0,5.5,5.0,51.5,9.0
2020-03-10 00:00:00,Armenia,0.0,,1,,2020-02-25 00:00:00,2020-03-03 00:00:00,10.0,2.5,5.5,6.0,5.5,51.5,10.0
2020-03-11 00:00:00,Armenia,0.0,,1,,2020-02-26 00:00:00,2020-03-04 00:00:00,11.0,3.0,6.0,7.0,6.0,46.0,11.0
2020-03-12 00:00:00,Armenia,0.0,,1,,2020-02-27 00:00:00,2020-03-05 00:00:00,11.0,3.5,6.5,7.0,6.5,46.0,11.0
2020-03-13 00:00:00,Armenia,0.0,,1,,2020-02-28 00:00:00,2020-03-06 00:00:00,11.5,4.5,7.0,7.5,7.0,45.0,11.5
2020-03-14 00:00:00,Armenia,7.0,,8,,2020-02-29 00:00:00,2020-03-07 00:00:00,12.0,5.0,7.5,8.5,7.5,48.5,12.0
2020-03-15 00:00:00,Armenia,0.0,,8,,2020-03-01 00:00:00,2020-03-08 00:00:00,12.5,5.5,8.5,9.0,8.5,49.0,12.5
2020-03-16 00:00:00,Armenia,18.0,,26,,2020-03-02 00:00:00,2020-03-09 00:00:00,14.0,6.5,9.0,9.0,9.0,44.5,14.0
2020-03-17 00:00:00,Armenia,26.0,,52,,2020-03-03 00:00:00,2020-03-10 00:00:00,15.0,7.0,9.5,9.5,9.5,40.0,15.0
2020-03-17 00:00:00,Aruba,,,2,,2020-03-03 00:00:00,2020-03-10 00:00:00,27.0,26.0,29.0,29.0,26.0,78.0,27.0
2020-01-25 00:00:00,Australia,,,3,,2020-01-11 00:00:00,2020-01-18 00:00:00,27.5,13.0,20.0,20.0,19.5,67.5,27.5
2020-01-26 00:00:00,Australia,1.0,,4,,2020-01-12 00:00:00,2020-01-19 00:00:00,27.5,13.0,20.0,20.0,19.5,67.5,27.5
2020-01-27 00:00:00,Australia,0.0,,4,,2020-01-13 00:00:00,2020-01-20 00:00:00,28.0,13.0,20.5,20.5,20.0,69.5,28.0
2020-01-28 00:00:00,Australia,1.0,,5,,2020-01-14 00:00:00,2020-01-21 00:00:00,26.5,13.0,20.5,20.5,20.0,69.5,26.5
2020-01-29 00:00:00,Australia,2.0,,7,,2020-01-15 00:00:00,2020-01-22 00:00:00,26.5,13.0,20.5,20.5,20.0,69.5,26.5
2020-01-30 00:00:00,Australia,0.0,,7,,2020-01-16 00:00:00,2020-01-23 00:00:00,26.5,14.0,21.5,21.5,20.5,67.0,26.5
2020-01-31 00:00:00,Australia,2.0,,9,,2020-01-17 00:00:00,2020-01-24 00:00:00,27.0,14.0,21.5,21.5,21.0,63.5,27.0
2020-02-01 00:00:00,Australia,3.0,,12,,2020-01-18 00:00:00,2020-01-25 00:00:00,28.5,14.0,22.5,22.5,22.0,62.5,28.5
2020-02-02 00:00:00,Australia,0.0,,12,,2020-01-19 00:00:00,2020-01-26 00:00:00,30.0,15.5,23.0,23.0,22.0,58.0,30.0
2020-02-03 00:00:00,Australia,0.0,,12,,2020-01-20 00:00:00,2020-01-27 00:00:00,30.0,15.5,23.0,23.0,22.5,53.0,30.0
2020-02-04 00:00:00,Australia,0.0,,12,,2020-01-21 00:00:00,2020-01-28 00:00:00,30.5,16.0,23.0,23.0,23.0,52.5,30.5
2020-02-05 00:00:00,Australia,1.0,,13,,2020-01-22 00:00:00,2020-01-29 00:00:00,31.5,16.0,24.5,24.5,24.5,52.5,31.5
2020-02-06 00:00:00,Australia,1.0,,14,,2020-01-23 00:00:00,2020-01-30 00:00:00,32.5,16.0,26.0,26.0,26.0,52.5,32.5
2020-02-07 00:00:00,Australia,1.0,,15,,2020-01-24 00:00:00,2020-01-31 00:00:00,33.5,16.0,26.0,26.0,26.0,52.5,33.5
2020-02-08 00:00:00,Australia,0.0,,15,,2020-01-25 00:00:00,2020-02-01 00:00:00,35.0,17.0,26.5,26.5,26.5,52.5,35.0
2020-02-09 00:00:00,Australia,0.0,,15,,2020-01-26 00:00:00,2020-02-02 00:00:00,35.0,19.0,27.0,27.0,27.0,46.5,35.0
2020-02-10 00:00:00,Australia,0.0,,15,,2020-01-27 00:00:00,2020-02-03 00:00:00,35.0,17.0,27.0,27.0,27.0,41.0,35.0
2020-02-11 00:00:00,Australia,0.0,,15,,2020-01-28 00:00:00,2020-02-04 00:00:00,35.0,17.0,27.0,27.0,27.0,41.0,35.0
2020-02-12 00:00:00,Australia,0.0,,15,,2020-01-29 00:00:00,2020-02-05 00:00:00,35.0,14.5,26.5,26.5,26.5,41.0,35.0
